Restaurant,Location,Food Type,Average Price (USD),Reservation Required,Seating Capacity
La Vague d'Or,"Saint-Tropez, France",Creative,331,N,46
Pic,"Valence, France",Creative,255,N - advisable,48
Georges Blanc,"Vonnas, France",Creative,287,N - advisable,110
Geranium,"Copenhagen, Denmark",Creative,312,Y,24
Ultraviolet,"Shanghai, China",Creative,450,Y,10
T'ang Court,"Shanghai, China",Chinese,140,Y,110
The Eight,"Macau, China",Chinese,74,Y,75
Robuchon au Dôme,"Macau, China",French,228,Y,64
T'ang Court,"Hong Kong, China",Chinese,130,Y,182
Sushi Shikon,"Hong Kong, China",Japanese - Sushi,224,Y,8
Bo Innovation,"Hong Kong, China",Creative,183,Y,20
L'Atelier de Joël Robuchon,"Hong Kong, China",Fench,163,Y,70
8½ Otto e Mezzo Bombana,"Hong Kong, China",Italian,116,Y,78
Lung King Heen,"Hong Kong, China",Chinese,192,Y,128
Hertog Jan,"Zedelgem, Belgium",Creative,389,Y,80
Hof van Cleve,"Kruishoutem, Belgium",Creative,325,N,24
Gaon,"Seoul, South Korea",Korean,192,Y,20
La Yeon,"Seoul, South Korea",Korean,134,Y,36
Quique Dacosta,"Dénia, Spain",Creative,231,N,26
Lasarte,"Barcelona, Spain",Creative,168,N,60
El Celler de Can Roca,"Girona, Spain",Creative,197,Y,45
Martín Berasategui,"Lasarte-Oria, Spain",Creative,210,N,60
Azurmendi,"Larrabetzu, Spain",Creative,209,N,40
DiverXO,"Madrid, Spain",Creative,235,Y,100
Sant Pau,"Sant Pol de Mar, Spain",Creative,167,N,35
Arzak,"San Sebastián, Spain",Creative,216,N,90
Akelarre,"San Sebastián, Spain",Creative,162,N,48
Cheval Blanc,"Basel, Switzerland",French,166,N,40
Restaurant de l'Hôtel de Ville,"Crissier, Switzerland",French,289,N,40
Schauenstein,"Fürstenau, Switzerland",Creative,300,Y,30
Benu,"San Francisco, United States",Asian,228,Y,24
Coi,"San Francisco, United States",Seafood,195,N,40
Manresa,"San Francisco, United States",Contemporary,185,N,50
Quince,"San Francisco, United States",Italian,220,N,80
Saison,"San Francisco, United States",New American,398,N,72
The French Laundry,"San Francisco, United States",Contemporary,270,N,60
The Restaurant at Meadowood,"San Francisco, United States",Contemporary,225,Y,36
Grace,"Chicago, United States",Contemporary,235,N,18
Alinea,"Chicago, United States",Contemporary,235,Y,80
Per Se,"New York, United States",Contemporary,295,N,72
Masa,"New York, United States",Japanese,300,N,26
Eleven Madison Park,"New York, United States",Contemporary,215,N,80
Chef's Table at Brooklyn Fare,"New York, United States",Seafood,306,Y,18
Le Bernardin,"New York, United States",Seafood,200,N,112
